datetime,price
2021-03-18 09:40:00,129.88
2021-03-18 09:45:00,130.05
2021-03-18 09:50:00,129.455
2021-03-18 09:55:00,129.55
2021-03-18 10:00:00,129.57
2021-03-18 10:05:00,129.61
2021-03-18 10:10:00,129.73
2021-03-18 10:15:00,129.805
2021-03-18 10:20:00,129.81
2021-03-18 10:25:00,129.82
2021-03-18 10:30:00,129.64
2021-03-18 10:35:00,129.8103
2021-03-18 10:40:00,129.75
2021-03-18 10:45:00,129.83
2021-03-18 10:50:00,129.84
2021-03-18 10:55:00,129.77
2021-03-18 11:00:00,129.88
2021-03-18 11:05:00,129.985
2021-03-18 11:10:00,130.065
2021-03-18 11:15:00,130.1911
2021-03-18 11:20:00,130.43
2021-03-18 11:25:00,130.6599
2021-03-18 11:30:00,130.4801
2021-03-18 11:35:00,130.525
2021-03-18 11:40:00,130.58
2021-03-18 11:45:00,130.315
2021-03-18 11:50:00,130.275
2021-03-18 11:55:00,130.47
2021-03-18 12:00:00,130.54
2021-03-18 12:05:00,130.81
2021-03-18 12:10:00,130.81
2021-03-18 12:15:00,130.88
2021-03-18 12:20:00,130.88
2021-03-18 12:25:00,130.89
2021-03-18 12:30:00,130.97
2021-03-18 12:35:00,130.7255
2021-03-18 12:40:00,130.68
2021-03-18 12:45:00,130.73
2021-03-18 12:50:00,130.7052
2021-03-18 12:55:00,130.8596
2021-03-18 13:00:00,130.73
2021-03-18 13:05:00,130.791
2021-03-18 13:10:00,130.7701
2021-03-18 13:15:00,130.75
2021-03-18 13:20:00,130.8214
2021-03-18 13:25:00,130.87
2021-03-18 13:30:00,130.86
2021-03-18 13:35:00,130.83
2021-03-18 13:40:00,130.75
2021-03-18 13:45:00,130.85
2021-03-18 13:50:00,130.82
2021-03-18 13:55:00,130.8919
2021-03-18 14:00:00,130.86
2021-03-18 14:05:00,130.83
2021-03-18 14:10:00,130.833
2021-03-18 14:15:00,130.79
2021-03-18 14:20:00,130.68
2021-03-18 14:25:00,130.73
2021-03-18 14:30:00,130.69
2021-03-18 14:35:00,130.52
2021-03-18 14:40:00,130.37
2021-03-18 14:45:00,130.28
2021-03-18 14:50:00,130.555
2021-03-18 14:55:00,130.55
2021-03-18 15:00:00,130.48
2021-03-18 15:05:00,130.295
2021-03-18 15:10:00,130.27
2021-03-18 15:15:00,130.32
2021-03-18 15:20:00,130.34
2021-03-18 15:25:00,130.24
2021-03-18 15:30:00,130.4
2021-03-18 15:35:00,130.03
2021-03-18 15:40:00,130.04
2021-03-18 15:45:00,129.91
2021-03-18 15:50:00,129.795
2021-03-18 15:55:00,129.97
2021-03-18 16:00:00,130.07
2021-03-18 16:05:00,130.06
2021-03-18 16:10:00,130.1
2021-03-18 16:15:00,130.75
2021-03-18 16:45:00,130.22
2021-03-18 16:55:00,130.07
2021-03-18 17:00:00,130.0
2021-03-18 17:05:00,130.08
2021-03-18 17:20:00,130.29
2021-03-18 17:25:00,130.4
2021-03-18 17:45:00,130.49
2021-03-18 17:50:00,130.3
2021-03-18 18:25:00,130.12
2021-03-18 19:00:00,130.13
2021-03-18 19:05:00,130.13
2021-03-18 19:45:00,130.06
2021-03-18 20:00:00,130.06
2021-03-19 04:05:00,130.0
2021-03-19 05:45:00,130.06
2021-03-19 06:00:00,130.06
2021-03-19 06:20:00,130.08
2021-03-19 06:35:00,130.08
2021-03-19 08:05:00,130.0
2021-03-19 08:25:00,130.18
2021-03-19 08:30:00,130.0
2021-03-19 08:50:00,130.14
2021-03-19 09:05:00,129.4873
2021-03-19 09:10:00,130.0
2021-03-19 09:15:00,129.99
2021-03-19 09:30:00,129.96
2021-03-19 09:35:00,129.91
2021-03-19 09:40:00,129.4829
2021-03-19 09:45:00,129.605
2021-03-19 09:50:00,129.67
2021-03-19 09:55:00,129.78
2021-03-19 10:00:00,129.69
2021-03-19 10:05:00,129.48
2021-03-19 10:10:00,129.6
2021-03-19 10:15:00,129.63
2021-03-19 10:20:00,129.69
2021-03-19 10:25:00,129.695
2021-03-19 10:30:00,129.425
2021-03-19 10:35:00,129.11
2021-03-19 10:40:00,129.08
2021-03-19 10:45:00,129.31
2021-03-19 10:50:00,129.43
2021-03-19 10:55:00,129.79
2021-03-19 11:00:00,129.63
2021-03-19 11:05:00,129.38
2021-03-19 11:10:00,129.43
2021-03-19 11:15:00,129.4
2021-03-19 11:20:00,129.28
2021-03-19 11:25:00,129.42
2021-03-19 11:30:00,129.2
2021-03-19 11:35:00,129.585
2021-03-19 11:40:00,129.7059
2021-03-19 11:45:00,129.82
2021-03-19 11:50:00,129.91
2021-03-19 11:55:00,129.97
2021-03-19 12:00:00,130.16
2021-03-19 12:05:00,130.31
2021-03-19 12:10:00,130.215
2021-03-19 12:15:00,130.17
