time,open,high,low,close,volume
2021-04-05 16:15:00,135.93,135.93,135.93,135.93,593814
2021-04-05 16:00:00,135.97,136.16,135.83,135.92,483113
2021-04-05 15:45:00,135.94,136.03,135.82,135.98,197224
2021-04-05 15:30:00,135.78,136.04,135.775,135.94,93018
2021-04-05 15:15:00,135.83,135.86,135.68,135.78,136957
2021-04-05 15:00:00,136.13,136.16,135.82,135.82,125322
2021-04-05 14:45:00,136.335,136.4099,136.11,136.13,83547
2021-04-05 14:30:00,136.215,136.4,136.21,136.3359,89896
2021-04-05 14:15:00,136.36,136.36,136.195,136.23,93406
2021-04-05 14:00:00,135.9,136.36,135.88,136.36,96408
2021-04-05 13:45:00,136.04,136.3,135.85,135.88,121553
2021-04-05 13:30:00,136.35,136.38,135.95,136.025,145721
2021-04-05 13:15:00,136.4,136.545,136.3401,136.37,92718
2021-04-05 13:00:00,136.545,136.69,136.32,136.41,204986
2021-04-05 12:45:00,136.45,136.6498,136.43,136.54,143316
2021-04-05 12:30:00,136.0301,136.4673,135.98,136.4673,123520
2021-04-05 12:15:00,135.82,136.13,135.8044,136.03,149583
2021-04-05 12:00:00,135.61,136.0,135.589,135.845,163289
2021-04-05 11:45:00,135.41,135.64,135.24,135.62,110460
2021-04-05 11:30:00,135.25,135.42,135.12,135.4055,87234
2021-04-05 11:15:00,134.82,135.45,134.8021,135.2469,211187
2021-04-05 11:00:00,134.38,134.91,134.38,134.82,125519
2021-04-05 10:45:00,134.34,134.56,134.23,134.36,135177
2021-04-05 10:30:00,134.3,134.56,134.245,134.34,154723
2021-04-05 10:15:00,133.83,134.3224,133.73,134.3224,191615
2021-04-05 10:00:00,133.85,133.94,133.4,133.81,180665
2021-04-05 09:45:00,133.64,134.2365,133.61,133.825,370822
2021-04-05 09:30:00,133.71,133.72,133.62,133.62,1977
2021-04-05 09:15:00,133.92,133.92,133.92,133.92,130
2021-04-05 09:00:00,133.85,133.85,133.68,133.85,1510
2021-04-05 08:45:00,133.55,133.97,133.55,133.97,2115
2021-04-05 08:15:00,133.8934,133.9,133.58,133.65,3605
2021-04-05 07:30:00,133.5,133.69,133.5,133.69,350
2021-04-05 07:15:00,133.51,133.51,133.18,133.51,2583
2021-04-01 18:15:00,133.28,133.28,133.23,133.23,905
2021-04-01 17:30:00,133.27,133.27,133.27,133.27,117
2021-04-01 17:00:00,133.4,133.4,133.23,133.23,10038
2021-04-01 16:45:00,133.26,133.41,133.24,133.41,664
2021-04-01 16:30:00,133.36,133.36,133.36,133.36,126
2021-04-01 16:15:00,133.23,133.25,133.2,133.25,60713
2021-04-01 16:00:00,133.06,133.25,132.94,133.24,424341
2021-04-01 15:45:00,132.73,133.07,132.64,133.05,196306
2021-04-01 15:30:00,133.09,133.09,132.7283,132.7283,117097
2021-04-01 15:15:00,132.73,133.15,132.71,133.1,106093
2021-04-01 15:00:00,132.69,132.83,132.66,132.73,61716
2021-04-01 14:45:00,132.525,132.845,132.5193,132.72,118331
2021-04-01 14:30:00,132.6522,132.83,132.52,132.52,64491
2021-04-01 14:15:00,132.65,132.79,132.6,132.6567,62309
2021-04-01 14:00:00,132.7925,132.799,132.63,132.64,64579
2021-04-01 13:45:00,132.6901,132.88,132.66,132.79,81131
2021-04-01 13:30:00,132.68,132.74,132.58,132.69,79205
2021-04-01 13:15:00,132.72,132.7499,132.62,132.68,79492
2021-04-01 13:00:00,132.65,132.75,132.54,132.7152,71542
2021-04-01 12:45:00,132.69,132.78,132.64,132.645,94522
2021-04-01 12:30:00,132.98,132.98,132.68,132.69,75421
2021-04-01 12:15:00,132.845,133.08,132.8,132.9876,99696
2021-04-01 12:00:00,132.6099,132.86,132.535,132.85,122779
2021-04-01 11:45:00,132.89,132.895,132.565,132.61,99745
2021-04-01 11:30:00,132.94,133.2113,132.85,132.89,143412
2021-04-01 11:15:00,132.33,132.95,132.3,132.94,155070
2021-04-01 11:00:00,132.615,132.69,132.34,132.34,156226
2021-04-01 10:45:00,132.66,132.91,132.5557,132.61,182361
2021-04-01 10:30:00,132.475,132.825,132.41,132.66,194262
2021-04-01 10:15:00,132.405,132.79,132.32,132.481,174044
2021-04-01 10:00:00,132.925,132.925,132.27,132.36,189711
2021-04-01 09:45:00,133.76,133.93,132.88,132.925,358483
2021-04-01 09:30:00,133.9,133.9,133.26,133.8999,1240
2021-04-01 09:15:00,133.5123,133.5123,133.5123,133.5123,190
2021-04-01 09:00:00,133.99,133.99,133.26,133.9626,644
2021-04-01 08:45:00,133.3888,133.3888,133.38,133.38,200
2021-04-01 08:30:00,133.26,133.26,133.26,133.26,4802
2021-04-01 08:15:00,133.49,133.49,133.49,133.49,411
2021-04-01 07:45:00,133.7,133.7,133.7,133.7,200
